id_reclamo,fecha_reclamo,detalle_reclamo
77,2024-02-06,"La cuadrilla que reparó la tubería matriz dejó toda la vereda de mi fachada completamente rota y con desmontes abandonados que impiden el paso seguro."
78,2024-03-24,Se ha roto la tapa de fierro de la caja de agua que está en la vereda pública y representa un riesgo grave de caída para los transeúntes.
79,2024-01-20,Nuevamente nos han cortado el suministro de agua potable sin emitir ningún comunicado oficial. Por favor solucionen este inconveniente técnico a la brevedad posible.
80,2024-06-24,El agua sale con un color marrón oscuro muy extraño y un olor desagradable desde hace varias horas. Es un peligro evidente para la salud pública.
81,2024-05-14,Presenté un recurso de reconsideración hace más de un mes calendario por cobro excesivo y hasta el momento no recibo ninguna respuesta formal del caso.
82,2024-03-08,Facturación incorrecta y desproporcionada en mi último recibo de agua potable. Mi casa estuvo deshabitada todo el mes por viaje, es imposible ese consumo.
83,2024-02-26,Hay una fuga de agua evidente al costado de mi medidor que está inundando toda la acera peatonal y desperdiciando el recurso vital de forma continua.
84,2024-01-12,Durante los trabajos de excavación en la calle principal terminaron rompiendo la conexión de mi tubería interna de desagüe. Exijo que asuman la reparación inmediata.
85,2024-04-21,Ninguno de los asesores del canal virtual sabe dar una respuesta clara sobre mi estado de cuenta actual. Solo se limitan a pasear al usuario.
86,2024-06-06,Dejaron una zanja abierta frente a mi domicilio tras supuestamente terminar la reparación del medidor. Es un peligro inminente para los niños del barrio.
87,2024-03-26,El recibo de este mes me vino con un monto sumamente excesivo que duplica mi consumo promedio mensual normal. Exijo una auditoría técnica del medidor.
88,2024-02-01,Pésima atención presencial en la oficina principal de reclamos. El encargado se negó a recibir mi documentación de sustento sin dar ninguna justificación válida.
89,2024-05-06,Llevamos más de veinticuatro horas sin una sola gota de agua en las tuberías principales. La cisterna de contingencia no ha pasado por nuestra calle.
90,2024-01-30,Incumplimiento total de los plazos legales establecidos por el regulador para dar solución a mi disconformidad con la lectura del medidor de agua potable.
91,2024-06-28,No tengo agua desde hace tres días en toda la cuadra. Es una situación insoportable porque no podemos cocinar ni lavar los servicios básicos. Exijo solución inmediata.
92,2024-04-15,Reitero mi solicitud de inspección técnica ingresada hace tres semanas mediante la mesa de partes virtual. El problema de baja presión continúa afectándome diariamente.
93,2024-02-15,Me están cobrando una tarifa de mantenimiento que nunca antes se había facturado en mi historial de usuario. Solicito la corrección inmediata del recibo actual.
94,2024-03-04,Corte intempestivo del servicio de agua potable sin previo aviso en la zona. Nos afecta directamente a todos los vecinos del sector de forma muy grave.
95,2024-01-10,El personal técnico que acudió a revisar la caja del agua fue sumamente grosero y prepotente con mi madre anciana. Presento esta queja formal contra ellos.
96,2024-05-22,La presión del agua es extremadamente baja, apenas sale un hilo por el caño principal del primer piso. Es imposible llenar los tanques elevados así.
97,2024-06-17,El expediente técnico de cambio de titularidad sigue estancado en sus oficinas desde el año pasado. Es una burla total el tiempo de espera brindado.
98,2024-04-19,Llamé a la central telefónica de emergencias y la operadora me colgó la llamada de manera muy maleducada tras dejarme esperando más de veinte minutos.
99,2024-05-24,
100,2024-03-11,
101,2024-06-03,
,2024-04-26,Texto de reclamo válido pero el id se encuentra totalmente vacío en este registro para probar filtros.
,2024-01-07,Texto de reclamo válido pero el id se encuentra totalmente vacío en este registro para probar filtros.
